ISO_country,Cruise_ID,Latitude,Longitude,Year,Month,Day,Time,WOD_unique,depth(m),qc_flag,Temp,qc_flag,Sal,qc_flag,Oxy,qc_flag,Phos,qc_flag,dum5,qc_flag,Sil,qc_flag,dum7,qc_flag,NO3,qc_flag,pH,qc_flag,dum10,qc_flag,Chl,qc_flag,dum12,qc_flag,dum13,qc_flag,dum14,qc_flag,dum15,qc_flag,dum16,qc_flag,Alk,qc_flag,dum18,qc_flag,dum19,qc_flag,pCO2,qc_flag,DIC,qc_flag,dum22,qc_flag,dum23,qc_flag,BAC,qc_flag,dum25,qc_flag,dum26,qc_flag,dum27,qc_flag,dum28,qc_flag,dum29,qc_flag,dum30,qc_flag,dum31,qc_flag,dum32,qc_flag,Trit,qc_flag,He,qc_flag,dHE3,qc_flag,dC14,qc_flag,dC13,qc_flag,Arg,qc_flag,Neo,qc_flag,CFC11,qc_flag,CFC12,qc_flag,CFC113,qc_flag,O18,qc_flag
US,25058,30.942,-27.158,1981, 5,29,11.75,21225015,1980.72,0,4.3580,0,35.1060,0,245.0,0,1.27,0,,,18.10,0,,,19.30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,25058,28.747,-22.232,1981, 6, 3,7.50,21225016,4916.81,0,2.4440,0,34.8910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5008.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,25058,31.612,-20.830,1981, 6, 6,20.08,21225017,4868.12,0,2.4420,0,34.8900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4959.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,25059,46.068,-11.013,1981, 6,27,18.67,21225018,4794.94,0,2.5260,0,34.9000,0,243.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4890.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,25061,59.330,-51.245,1981, 8,31,17.60,21225019,3442.63,0,1.5220,0,34.8830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3504.0,0,,,,,,,,,,,,,,,3.580,0,1.8400,0,5.08,0,,,,,,,,,,,,,,,,
US,25061,58.067,-52.770,1981, 9, 1,7.12,21225020,3505.36,0,1.5320,0,34.8780,0,297.0,0,0.94,0,,,9.80,0,,,13.80,0,,,,,,,,,,,,,,,,,2.3641,0,,,,,726.6,0,2.2090,0,,,,,,,3568.0,0,,,,,,,,,,,,,,,3.320,0,-99.99,0,-99.99,0,,,,,,,,,,,,,,,,
US,25061,54.577,-41.895,1981, 9, 7,23.25,21225021,3630.16,0,2.4630,0,34.9140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3695.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,25061,50.552,-44.673,1981, 9,14,16.95,21225022,225.91,0,3.4260,0,34.7870,0,286.0,0,1.05,0,,,9.20,0,,,16.60,0,,,,,,,,,,,,,,,,,2.3518,0,,,,,,,,,,,,,,,228.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
